Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L4008,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,2,06-May-25,it /security room,32.4,כן
L4008,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,06-May-25,it /security room,32.4,כן
L4008,Electrical Fixtures,Frame_Socket,1 AC GEN,2,06-May-25,it /security room,32.4,כן
L4008,Electrical Fixtures,Frame_Socket,Gen,2,06-May-25,it /security room,32.4,כן
L4008,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,06-May-25,it /security room,32.4,כן
L4008,Electrical Fixtures,Socket_Cee_R19,GEN CEE_1x16A_1Ph,6,06-May-25,it /security room,32.4,כן
L4008,Electrical Fixtures,Socket_Cee_R19,UPS CEE_1x16A_1Ph,6,06-May-25,it /security room,32.4,כן
L4008,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,it /security room,32.4,כן
L4008,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,9,06-May-25,it /security room,32.4,כן
L4008,Mechanical Equipment,AWV 1200,AWV 1200,2,06-May-25,it /security room,32.4,כן
L4009,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,service zone (fire),9.86,כן
L4009,Mechanical Equipment,AWSQ 450(right),AWSQ 450,1,06-May-25,service zone (fire),9.86,כן
L4010,Electrical Fixtures,M_Junction Boxes - W,W,1,06-May-25,cleaning room,6.41,לא
L4010,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,1,06-May-25,cleaning room,6.41,לא
L4010,Mechanical Equipment,AW 450(right),AW 450,1,06-May-25,cleaning room,6.41,לא
L4012,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,women w.c,13.59,לא
